treatment,comp,plot_id,year,inv_date,timestep,tree_id,Status_raw,Species_raw,dbh_cm,tph,ba_m2ha,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,species,status,Remove flag,PFT,Outlier,DBH_BA,Treatment,PFT_simple
control,240,0240-00009,2003,2003-06-01,post_1,0240-00009-8,Live,QUKE,48.0,24.69135802,4.468042885,2.0,2.0,1.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,48.0,None,oak
control,240,0240-00022,2003,2003-06-01,post_1,0240-00022-34,Live,QUKE,44.2,24.69135802,3.7886056,2.0,1.5,0.75,2001.0,2003,QUKE,Live,0,deciduous_oak,0,44.2,None,oak
control,40,0040-00101,2003,2003-06-01,post_1,0040-00101-4,Live,QUKE,48.3,24.69135802,4.524067954,2.0,1.2999999999999972,0.6499999999999986,2001.0,2003,QUKE,Live,0,deciduous_oak,0,48.3,None,oak
control,40,0040-00108,2003,2003-06-01,post_1,0040-00108-8,Live,QUKE,14.0,24.69135802,0.380093926,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,14.0,None,oak
mech,350,0350-00103,2003,2003-06-01,post_1,0350-00103-27,Live,QUKE,64.8,24.69135802,8.143008158,2.0,-2.799999999999997,-1.3999999999999986,2001.0,2003,QUKE,Live,0,deciduous_oak,0,64.8,Thin,oak
mech,190,0190-00104,2003,2003-06-01,post_1,0190-00104-15,Live,QUKE,88.1,24.69135802,15.05173886,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,88.1,Thin,oak
mechburn,570,0570-00102,2003,2003-06-01,post_1,0570-00102-4,Snag,QUKE,21.6,24.69135802,0.904778684,2.0,0.5,0.25,2001.0,2003,QUKE,Snag,0,deciduous_oak,0,21.6,Burn+Thin,oak
mechburn,570,0570-00119,2003,2003-06-01,post_1,0570-00119-25,Live,QUKE,28.2,24.69135802,1.542172927,2.0,0.5,0.25,2001.0,2003,QUKE,Live,0,deciduous_oak,0,28.2,Burn+Thin,oak
control,40,0040-00012,2003,2003-06-01,post_1,0040-00012-6,Live,QUKE,45.5,24.69135802,4.014742093,2.0,1.0,0.5,2001.0,2003,QUKE,Live,0,deciduous_oak,0,45.5,None,oak
control,40,0040-00108,2003,2003-06-01,post_1,0040-00108-4,Live,QUKE,13.2,24.69135802,0.337895743,2.0,0.1999999999999993,0.0999999999999996,2001.0,2003,QUKE,Live,0,deciduous_oak,0,13.2,None,oak
burn,60,0060-00102,2003,2003-06-01,post_1,0060-00102-9,Live,QUKE,79.5,24.69135802,12.25657467,2.0,-0.2999999999999971,-0.1499999999999985,2001.0,2003,QUKE,Live,0,deciduous_oak,0,79.5,Burn,oak
burn,60,0060-00021,2003,2003-06-01,post_1,0060-00021-11,Live,QUKE,80.8,24.69135802,12.66069596,2.0,0.5,0.25,2001.0,2003,QUKE,Live,0,deciduous_oak,0,80.8,Burn,oak
control,40,0040-00007,2003,2003-06-01,post_1,0040-00007-34,Live,QUKE,13.2,24.69135802,0.337895743,2.0,0.1999999999999993,0.0999999999999996,2001.0,2003,QUKE,Live,0,deciduous_oak,0,13.2,None,oak
control,590,0590-00005,2003,2003-06-01,post_1,0590-00005-14,Live,QUKE,40.6,24.69135802,3.196589918,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,40.6,None,oak
control,240,0240-00009,2003,2003-06-01,post_1,0240-00009-11,Live,QUKE,36.3,24.69135802,2.555336558,2.0,0.6999999999999957,0.3499999999999978,2001.0,2003,QUKE,Live,0,deciduous_oak,0,36.3,None,oak
mechburn,570,0570-00102,2003,2003-06-01,post_1,0570-00102-6,Live,QUKE,39.1,24.69135802,2.964752015,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,39.1,Burn+Thin,oak
mech,190,0190-00116,2003,2003-06-01,post_1,0190-00116-21,Live,QUKE,74.4,24.69135802,10.73447303,2.0,0.0,0.0,2001.0,2003,QUKE,Live,0,deciduous_oak,0,74.4,Thin,oak
control,40,0040-00012,2003,2003-06-01,post_1,0040-00012-7,Live,QUKE,62.0,24.69135802,7.454495161,2.0,2.1000000000000014,1.0500000000000007,2001.0,2003,QUKE,Live,0,deciduous_oak,0,62.0,None,oak
mech,350,0350-00103,2003,2003-06-01,post_1,0350-00103-21,Live,QUKE,58.4,24.69135802,6.613944593,2.0,0.1999999999999957,0.0999999999999978,2001.0,2003,QUKE,Live,0,deciduous_oak,0,58.4,Thin,oak
