Unit,Treatment,Year,PFT,BAperTree_m2ha
20,None,2016,psme,0.0
20,None,2018,cedar,27.288783541953546
20,None,2018,fir,13.646644336542629
20,None,2018,oak,0.0
20,None,2018,other_hardwood,0.0
20,None,2018,pine,20.575058233230433
20,None,2018,psme,0.0
21,Thin,2012,cedar,13.46416143660036
21,Thin,2012,fir,8.913219775348276
21,Thin,2012,oak,0.2986694682475296
21,Thin,2012,other_hardwood,0.0
21,Thin,2012,pine,17.105518213190905
21,Thin,2012,psme,0.0
21,Thin,2014,cedar,13.786137595346709
21,Thin,2014,fir,9.330815978826699
21,Thin,2014,oak,0.2986694682475296
21,Thin,2014,other_hardwood,0.0
21,Thin,2014,pine,17.621705884452922
21,Thin,2014,psme,0.0
21,Thin,2016,cedar,14.247203950923009
21,Thin,2016,fir,9.725681450459462
21,Thin,2016,oak,0.2986694682475296
21,Thin,2016,other_hardwood,0.0
21,Thin,2016,pine,18.25962372605685
21,Thin,2016,psme,0.0
21,Thin,2018,cedar,14.749295361398216
21,Thin,2018,fir,10.122207166543182
21,Thin,2018,oak,0.3490658503988659
21,Thin,2018,other_hardwood,0.0
21,Thin,2018,pine,18.966174458833887
21,Thin,2018,psme,0.0
22,Burn+Thin,2012,cedar,4.13661795012115
22,Burn+Thin,2012,fir,23.36812227058174
22,Burn+Thin,2012,oak,0.0
22,Burn+Thin,2012,other_hardwood,0.0
22,Burn+Thin,2012,pine,23.350384816642954
22,Burn+Thin,2012,psme,0.0
22,Burn+Thin,2014,cedar,4.0220239947583325
22,Burn+Thin,2014,fir,23.613761545753594
22,Burn+Thin,2014,oak,0.0
22,Burn+Thin,2014,other_hardwood,0.0
22,Burn+Thin,2014,pine,23.630732691067674
22,Burn+Thin,2014,psme,0.0
22,Burn+Thin,2016,cedar,4.068646102402232
22,Burn+Thin,2016,fir,21.40519136701806
22,Burn+Thin,2016,oak,0.0
22,Burn+Thin,2016,other_hardwood,0.0
22,Burn+Thin,2016,pine,23.75590116003601
22,Burn+Thin,2016,psme,0.0
22,Burn+Thin,2018,cedar,4.240355957536563
22,Burn+Thin,2018,fir,21.765743665556613
22,Burn+Thin,2018,oak,0.0
22,Burn+Thin,2018,other_hardwood,0.0
22,Burn+Thin,2018,pine,24.202456739128152
22,Burn+Thin,2018,psme,0.0
23,Burn+Thin,2012,cedar,9.763059858052486
23,Burn+Thin,2012,fir,19.285338455822963
23,Burn+Thin,2012,oak,0.0
23,Burn+Thin,2012,other_hardwood,0.0
23,Burn+Thin,2012,pine,8.955184035550914
23,Burn+Thin,2012,psme,0.0
23,Burn+Thin,2014,cedar,9.975322438356905
23,Burn+Thin,2014,fir,19.96278800498456
23,Burn+Thin,2014,oak,0.0
23,Burn+Thin,2014,other_hardwood,0.0
23,Burn+Thin,2014,pine,9.063776239948437
23,Burn+Thin,2014,psme,0.0
23,Burn+Thin,2016,cedar,10.03659876673286
23,Burn+Thin,2016,fir,20.405506041383877
23,Burn+Thin,2016,oak,0.0
23,Burn+Thin,2016,other_hardwood,0.0
23,Burn+Thin,2016,pine,6.312114139531392
23,Burn+Thin,2016,psme,0.0
23,Burn+Thin,2018,cedar,10.37413017243761
23,Burn+Thin,2018,fir,19.107005076177312
23,Burn+Thin,2018,oak,0.0
23,Burn+Thin,2018,other_hardwood,0.0
23,Burn+Thin,2018,pine,6.484629027783207
23,Burn+Thin,2018,psme,0.0
24,Thin,2012,cedar,4.983514971374184
24,Thin,2012,fir,18.919462903065828
24,Thin,2012,oak,0.0
24,Thin,2012,other_hardwood,0.0
24,Thin,2012,pine,18.336808730564734
24,Thin,2012,psme,0.0
24,Thin,2014,cedar,5.172686845674719
24,Thin,2014,fir,19.4651182770862
24,Thin,2014,oak,0.0
24,Thin,2014,other_hardwood,0.0
24,Thin,2014,pine,18.76619463314038
24,Thin,2014,psme,0.0
24,Thin,2016,cedar,5.443856469895513
24,Thin,2016,fir,20.02791496602273
24,Thin,2016,oak,0.0
24,Thin,2016,other_hardwood,0.0
24,Thin,2016,pine,19.201610648281665
24,Thin,2016,psme,0.0
24,Thin,2018,cedar,5.757138707305366
24,Thin,2018,fir,20.69157423243201
24,Thin,2018,oak,0.0
24,Thin,2018,other_hardwood,0.0
24,Thin,2018,pine,19.80111597471076
24,Thin,2018,psme,0.0
