Unit,Treatment,Year,TPH,Size Class
15,Burn+Thin,2018,63.888888888888886,50-75
16,Burn,2012,66.66666666666666,50-75
16,Burn,2014,66.66666666666666,50-75
16,Burn,2016,69.44444444444444,50-75
16,Burn,2018,66.66666666666666,50-75
17,Burn+Thin,2012,41.666666666666664,50-75
17,Burn+Thin,2014,44.44444444444444,50-75
17,Burn+Thin,2016,41.666666666666664,50-75
17,Burn+Thin,2018,36.11111111111111,50-75
18,Burn+Thin,2012,27.77777777777778,50-75
18,Burn+Thin,2014,30.555555555555554,50-75
18,Burn+Thin,2016,33.33333333333333,50-75
18,Burn+Thin,2018,25.0,50-75
19,Burn,2012,113.88888888888889,50-75
19,Burn,2014,113.88888888888889,50-75
19,Burn,2016,102.77777777777777,50-75
19,Burn,2018,80.55555555555556,50-75
20,None,2012,75.0,50-75
20,None,2014,83.33333333333333,50-75
20,None,2016,69.44444444444444,50-75
20,None,2018,66.66666666666666,50-75
21,Thin,2012,52.77777777777778,50-75
21,Thin,2014,61.11111111111111,50-75
21,Thin,2016,55.55555555555556,50-75
21,Thin,2018,61.11111111111111,50-75
22,Burn+Thin,2012,47.22222222222222,50-75
22,Burn+Thin,2014,50.0,50-75
22,Burn+Thin,2016,55.55555555555556,50-75
22,Burn+Thin,2018,58.33333333333333,50-75
23,Burn+Thin,2012,63.888888888888886,50-75
23,Burn+Thin,2014,63.888888888888886,50-75
23,Burn+Thin,2016,61.11111111111111,50-75
23,Burn+Thin,2018,58.33333333333333,50-75
24,Thin,2012,30.555555555555554,50-75
24,Thin,2014,33.33333333333333,50-75
24,Thin,2016,36.11111111111111,50-75
24,Thin,2018,38.888888888888886,50-75
1,Burn+Thin,2012,33.33333333333333,75-100
1,Burn+Thin,2014,36.11111111111111,75-100
1,Burn+Thin,2016,36.11111111111111,75-100
1,Burn+Thin,2018,36.11111111111111,75-100
2,Burn+Thin,2012,38.888888888888886,75-100
2,Burn+Thin,2014,38.888888888888886,75-100
2,Burn+Thin,2016,36.11111111111111,75-100
2,Burn+Thin,2018,30.555555555555554,75-100
3,Burn,2012,0.0,75-100
3,Burn,2014,0.0,75-100
3,Burn,2016,0.0,75-100
3,Burn,2018,0.0,75-100
4,Thin,2012,5.555555555555555,75-100
4,Thin,2014,11.11111111111111,75-100
4,Thin,2016,11.11111111111111,75-100
4,Thin,2018,11.11111111111111,75-100
5,Thin,2012,16.666666666666664,75-100
5,Thin,2014,16.666666666666664,75-100
5,Thin,2016,19.444444444444443,75-100
5,Thin,2018,19.444444444444443,75-100
6,None,2012,25.0,75-100
6,None,2014,25.0,75-100
6,None,2016,22.22222222222222,75-100
6,None,2018,19.444444444444443,75-100
7,None,2012,8.333333333333332,75-100
7,None,2014,5.555555555555555,75-100
7,None,2016,8.333333333333332,75-100
7,None,2018,11.11111111111111,75-100
8,Thin,2012,16.666666666666664,75-100
8,Thin,2014,19.444444444444443,75-100
8,Thin,2016,19.444444444444443,75-100
8,Thin,2018,19.444444444444443,75-100
9,Thin,2012,13.88888888888889,75-100
9,Thin,2014,19.444444444444443,75-100
9,Thin,2016,22.22222222222222,75-100
9,Thin,2018,22.22222222222222,75-100
10,Thin,2012,5.555555555555555,75-100
10,Thin,2014,5.555555555555555,75-100
10,Thin,2016,5.555555555555555,75-100
10,Thin,2018,11.11111111111111,75-100
11,Thin,2012,11.11111111111111,75-100
11,Thin,2014,8.333333333333332,75-100
11,Thin,2016,8.333333333333332,75-100
11,Thin,2018,8.333333333333332,75-100
12,None,2012,2.7777777777777777,75-100
12,None,2014,2.7777777777777777,75-100
12,None,2016,2.7777777777777777,75-100
12,None,2018,2.7777777777777777,75-100
13,Burn+Thin,2012,8.333333333333332,75-100
13,Burn+Thin,2014,11.11111111111111,75-100
13,Burn+Thin,2016,11.11111111111111,75-100
13,Burn+Thin,2018,13.88888888888889,75-100
14,Burn,2012,8.333333333333332,75-100
14,Burn,2014,11.11111111111111,75-100
14,Burn,2016,13.88888888888889,75-100
14,Burn,2018,13.88888888888889,75-100
15,Burn+Thin,2012,5.555555555555555,75-100
15,Burn+Thin,2014,8.333333333333332,75-100
15,Burn+Thin,2016,8.333333333333332,75-100
15,Burn+Thin,2018,8.333333333333332,75-100
16,Burn,2012,25.0,75-100
16,Burn,2014,25.0,75-100
16,Burn,2016,22.22222222222222,75-100
16,Burn,2018,13.88888888888889,75-100
17,Burn+Thin,2012,19.444444444444443,75-100
17,Burn+Thin,2014,22.22222222222222,75-100
17,Burn+Thin,2016,25.0,75-100
17,Burn+Thin,2018,25.0,75-100
18,Burn+Thin,2012,8.333333333333332,75-100
18,Burn+Thin,2014,5.555555555555555,75-100
18,Burn+Thin,2016,5.555555555555555,75-100
18,Burn+Thin,2018,8.333333333333332,75-100
19,Burn,2012,30.555555555555554,75-100
19,Burn,2014,36.11111111111111,75-100
19,Burn,2016,38.888888888888886,75-100
19,Burn,2018,36.11111111111111,75-100
20,None,2012,16.666666666666664,75-100
20,None,2014,16.666666666666664,75-100
20,None,2016,11.11111111111111,75-100
20,None,2018,11.11111111111111,75-100
21,Thin,2012,27.77777777777778,75-100
21,Thin,2014,27.77777777777778,75-100
21,Thin,2016,33.33333333333333,75-100
21,Thin,2018,30.555555555555554,75-100
22,Burn+Thin,2012,25.0,75-100
22,Burn+Thin,2014,25.0,75-100
22,Burn+Thin,2016,25.0,75-100
22,Burn+Thin,2018,25.0,75-100
23,Burn+Thin,2012,16.666666666666664,75-100
23,Burn+Thin,2014,16.666666666666664,75-100
23,Burn+Thin,2016,16.666666666666664,75-100
23,Burn+Thin,2018,19.444444444444443,75-100
24,Thin,2012,25.0,75-100
24,Thin,2014,25.0,75-100
24,Thin,2016,27.77777777777778,75-100
24,Thin,2018,27.77777777777778,75-100
1,Burn+Thin,2012,13.88888888888889,100-155.3
1,Burn+Thin,2014,13.88888888888889,100-155.3
1,Burn+Thin,2016,11.11111111111111,100-155.3
1,Burn+Thin,2018,13.88888888888889,100-155.3
2,Burn+Thin,2012,8.333333333333332,100-155.3
2,Burn+Thin,2014,8.333333333333332,100-155.3
2,Burn+Thin,2016,8.333333333333332,100-155.3
2,Burn+Thin,2018,8.333333333333332,100-155.3
3,Burn,2012,0.0,100-155.3
3,Burn,2014,0.0,100-155.3
3,Burn,2016,0.0,100-155.3
3,Burn,2018,0.0,100-155.3
4,Thin,2012,2.7777777777777777,100-155.3
4,Thin,2014,2.7777777777777777,100-155.3
4,Thin,2016,2.7777777777777777,100-155.3
4,Thin,2018,2.7777777777777777,100-155.3
5,Thin,2012,5.555555555555555,100-155.3
5,Thin,2014,5.555555555555555,100-155.3
5,Thin,2016,5.555555555555555,100-155.3
5,Thin,2018,5.555555555555555,100-155.3
6,None,2012,8.333333333333332,100-155.3
6,None,2014,8.333333333333332,100-155.3
6,None,2016,11.11111111111111,100-155.3
6,None,2018,11.11111111111111,100-155.3
7,None,2012,8.333333333333332,100-155.3
7,None,2014,8.333333333333332,100-155.3
7,None,2016,5.555555555555555,100-155.3
7,None,2018,5.555555555555555,100-155.3
8,Thin,2012,5.555555555555555,100-155.3
8,Thin,2014,2.7777777777777777,100-155.3
8,Thin,2016,2.7777777777777777,100-155.3
8,Thin,2018,5.555555555555555,100-155.3
9,Thin,2012,5.555555555555555,100-155.3
9,Thin,2014,5.555555555555555,100-155.3
9,Thin,2016,5.555555555555555,100-155.3
9,Thin,2018,5.555555555555555,100-155.3
10,Thin,2012,2.7777777777777777,100-155.3
10,Thin,2014,2.7777777777777777,100-155.3
10,Thin,2016,2.7777777777777777,100-155.3
10,Thin,2018,2.7777777777777777,100-155.3
11,Thin,2012,0.0,100-155.3
11,Thin,2014,2.7777777777777777,100-155.3
11,Thin,2016,2.7777777777777777,100-155.3
11,Thin,2018,2.7777777777777777,100-155.3
12,None,2012,2.7777777777777777,100-155.3
12,None,2014,2.7777777777777777,100-155.3
12,None,2016,2.7777777777777777,100-155.3
12,None,2018,2.7777777777777777,100-155.3
13,Burn+Thin,2012,2.7777777777777777,100-155.3
13,Burn+Thin,2014,2.7777777777777777,100-155.3
13,Burn+Thin,2016,2.7777777777777777,100-155.3
13,Burn+Thin,2018,2.7777777777777777,100-155.3
14,Burn,2012,0.0,100-155.3
14,Burn,2014,0.0,100-155.3
14,Burn,2016,0.0,100-155.3
14,Burn,2018,0.0,100-155.3
15,Burn+Thin,2012,0.0,100-155.3
15,Burn+Thin,2014,0.0,100-155.3
15,Burn+Thin,2016,0.0,100-155.3
15,Burn+Thin,2018,0.0,100-155.3
16,Burn,2012,2.7777777777777777,100-155.3
16,Burn,2014,2.7777777777777777,100-155.3
16,Burn,2016,2.7777777777777777,100-155.3
16,Burn,2018,2.7777777777777777,100-155.3
17,Burn+Thin,2012,2.7777777777777777,100-155.3
17,Burn+Thin,2014,2.7777777777777777,100-155.3
17,Burn+Thin,2016,2.7777777777777777,100-155.3
17,Burn+Thin,2018,2.7777777777777777,100-155.3
18,Burn+Thin,2012,5.555555555555555,100-155.3
18,Burn+Thin,2014,5.555555555555555,100-155.3
18,Burn+Thin,2016,5.555555555555555,100-155.3
18,Burn+Thin,2018,5.555555555555555,100-155.3
19,Burn,2012,5.555555555555555,100-155.3
19,Burn,2014,2.7777777777777777,100-155.3
19,Burn,2016,2.7777777777777777,100-155.3
19,Burn,2018,5.555555555555555,100-155.3
20,None,2012,2.7777777777777777,100-155.3
20,None,2014,2.7777777777777777,100-155.3
20,None,2016,2.7777777777777777,100-155.3
20,None,2018,2.7777777777777777,100-155.3
21,Thin,2012,2.7777777777777777,100-155.3
21,Thin,2014,2.7777777777777777,100-155.3
21,Thin,2016,2.7777777777777777,100-155.3
21,Thin,2018,5.555555555555555,100-155.3
22,Burn+Thin,2012,11.11111111111111,100-155.3
22,Burn+Thin,2014,11.11111111111111,100-155.3
22,Burn+Thin,2016,8.333333333333332,100-155.3
22,Burn+Thin,2018,8.333333333333332,100-155.3
23,Burn+Thin,2012,2.7777777777777777,100-155.3
23,Burn+Thin,2014,2.7777777777777777,100-155.3
23,Burn+Thin,2016,2.7777777777777777,100-155.3
23,Burn+Thin,2018,2.7777777777777777,100-155.3
24,Thin,2012,11.11111111111111,100-155.3
24,Thin,2014,11.11111111111111,100-155.3
24,Thin,2016,11.11111111111111,100-155.3
24,Thin,2018,11.11111111111111,100-155.3
