Treatment,Plot,TreeID_clean,Species_clean,DBH_timeframe,dbh,Year,Status,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,Remove flag,PFT,Outlier,DBH_BA,Treatment_raw,PFT_simple
Burn+Thin,bc1,bc1_413,abco,DBH_15Post,31.3,2016,1.0,5.0,4.100000000000001,0.8200000000000003,2011.0,2016,0,fir,0,31.3,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_418,abco,DBH_15Post,34.6,2016,2.0,5.0,3.5,0.7,2011.0,2016,0,fir,0,34.6,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_423,abco,DBH_15Post,25.1,2016,2.0,5.0,3.200000000000003,0.6400000000000006,2011.0,2016,0,fir,0,25.1,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_425,abco,DBH_15Post,33.6,2016,2.0,5.0,2.0,0.4,2011.0,2016,0,fir,0,33.6,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_440,abco,DBH_15Post,27.5,2016,1.0,5.0,6.0,1.2,2011.0,2016,0,fir,0,27.5,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_455,abco,DBH_15Post,27.5,2016,1.0,5.0,4.199999999999999,0.8399999999999999,2011.0,2016,0,fir,0,27.5,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_460,abco,DBH_15Post,28.2,2016,2.0,5.0,4.0,0.8,2011.0,2016,0,fir,0,28.2,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_462,abco,DBH_15Post,97.2,2016,2.0,5.0,1.4000000000000057,0.2800000000000011,2011.0,2016,0,fir,0,97.2,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_466,abco,DBH_15Post,36.2,2016,1.0,5.0,4.700000000000003,0.9400000000000006,2011.0,2016,0,fir,0,36.2,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_467,abco,DBH_15Post,26.5,2016,1.0,5.0,3.8000000000000007,0.7600000000000001,2011.0,2016,0,fir,0,26.5,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_473,abco,DBH_15Post,23.2,2016,1.0,5.0,3.899999999999999,0.7799999999999997,2011.0,2016,0,fir,0,23.2,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_474,abco,DBH_15Post,17.2,2016,1.0,5.0,1.1999999999999993,0.2399999999999998,2011.0,2016,0,fir,0,17.2,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_475,abco,DBH_15Post,37.6,2016,1.0,5.0,6.200000000000003,1.2400000000000009,2011.0,2016,0,fir,0,37.6,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_482,abco,DBH_15Post,34.2,2016,1.0,5.0,3.400000000000002,0.6800000000000004,2011.0,2016,0,fir,0,34.2,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_489,pije,DBH_15Post,26.2,2016,1.0,5.0,4.800000000000001,0.9600000000000002,2011.0,2016,0,yellow_pine,0,26.2,Burn/Understory Thin,pine
Burn+Thin,bc1,bc1_493,cade,DBH_15Post,27.7,2016,1.0,5.0,5.599999999999998,1.1199999999999997,2011.0,2016,0,cedar,0,27.7,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_494,abco,DBH_15Post,90.5,2016,1.0,5.0,2.0999999999999943,0.4199999999999989,2011.0,2016,0,fir,0,90.5,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_501,abco,DBH_15Post,102.4,2016,1.0,5.0,3.9000000000000057,0.7800000000000011,2011.0,2016,0,fir,0,102.4,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_505,abco,DBH_15Post,97.0,2016,2.0,5.0,1.2999999999999972,0.2599999999999994,2011.0,2016,0,fir,0,97.0,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_16203,cade,DBH_15Post,23.0,2017,1.0,6.0,0.0,0.0,2011.0,2017,0,cedar,0,23.0,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_512,cade,DBH_15Post,27.7,2016,1.0,5.0,4.599999999999998,0.9199999999999996,2011.0,2016,0,cedar,0,27.7,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_513,abco,DBH_15Post,89.9,2016,2.0,5.0,0.1000000000000085,0.0200000000000017,2011.0,2016,0,fir,0,89.9,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_526,abma,DBH_15Post,17.7,2016,1.0,5.0,2.0,0.4,2011.0,2016,0,fir,0,17.7,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_528,abma,DBH_15Post,28.8,2016,1.0,5.0,5.800000000000001,1.16,2011.0,2016,0,fir,0,28.8,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_529,cade,DBH_15Post,25.5,2016,1.0,5.0,3.1999999999999997,0.6399999999999999,2011.0,2016,0,cedar,0,25.5,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_530,abco,DBH_15Post,28.9,2016,1.0,5.0,2.799999999999997,0.5599999999999994,2011.0,2016,0,fir,0,28.9,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_540,cade,DBH_15Post,16.8,2016,1.0,5.0,0.0,0.0,2011.0,2016,0,cedar,0,16.8,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_546,abco,DBH_15Post,94.2,2016,2.0,5.0,2.9000000000000057,0.5800000000000012,2011.0,2016,0,fir,0,94.2,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_548,abco,DBH_15Post,83.6,2016,1.0,5.0,0.2999999999999971,0.0599999999999994,2011.0,2016,0,fir,0,83.6,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_558,abma,DBH_15Post,34.2,2016,1.0,5.0,3.200000000000003,0.6400000000000006,2011.0,2016,0,fir,0,34.2,Burn/Understory Thin,fir
