Unit,Treatment,DBH_timeframe,Year,Size_class,TPH
bn1,Burn,DBH_2PostRX,2019.0,20,31.0
bn1,Burn,DBH_2PostRX,2019.0,30,53.0
bn1,Burn,DBH_2PostRX,2019.0,40,37.5
bn1,Burn,DBH_2PostRX,2019.0,50,21.25
bn1,Burn,DBH_2PostRX,2019.0,60,15.25
bn1,Burn,DBH_2PostRX,2019.0,70,10.0
bn1,Burn,DBH_2PostRX,2019.0,80,7.0
bn1,Burn,DBH_2PostRX,2019.0,90,5.5
bn1,Burn,DBH_2PostRX,2019.0,100,2.25
bn1,Burn,DBH_2PostRX,2019.0,227.2,7.25
bn1,Burn,DBH_Post,2004.0,20,47.75
bn1,Burn,DBH_Post,2004.0,30,68.0
bn1,Burn,DBH_Post,2004.0,40,35.25
bn1,Burn,DBH_Post,2004.0,50,20.5
bn1,Burn,DBH_Post,2004.0,60,17.0
bn1,Burn,DBH_Post,2004.0,70,13.0
bn1,Burn,DBH_Post,2004.0,80,8.75
bn1,Burn,DBH_Post,2004.0,90,6.5
bn1,Burn,DBH_Post,2004.0,100,4.0
bn1,Burn,DBH_Post,2004.0,227.2,12.75
bn1,Burn,DBH_Pre,2000.0,20,66.75
bn1,Burn,DBH_Pre,2000.0,30,72.0
bn1,Burn,DBH_Pre,2000.0,40,39.75
bn1,Burn,DBH_Pre,2000.0,50,23.5
bn1,Burn,DBH_Pre,2000.0,60,16.0
bn1,Burn,DBH_Pre,2000.0,70,13.25
bn1,Burn,DBH_Pre,2000.0,80,8.75
bn1,Burn,DBH_Pre,2000.0,90,6.75
bn1,Burn,DBH_Pre,2000.0,100,4.25
bn1,Burn,DBH_Pre,2000.0,227.2,15.5
bn2,Burn,DBH_10Post,2011.0,20,31.25
bn2,Burn,DBH_10Post,2011.0,30,55.0
bn2,Burn,DBH_10Post,2011.0,40,38.75
bn2,Burn,DBH_10Post,2011.0,50,29.0
bn2,Burn,DBH_10Post,2011.0,60,22.75
bn2,Burn,DBH_10Post,2011.0,70,17.25
bn2,Burn,DBH_10Post,2011.0,80,12.5
bn2,Burn,DBH_10Post,2011.0,90,8.25
bn2,Burn,DBH_10Post,2011.0,100,5.5
bn2,Burn,DBH_10Post,2011.0,227.2,15.25
bn2,Burn,DBH_15Post,2016.1170520231215,20,29.25
bn2,Burn,DBH_15Post,2016.1170520231215,30,37.5
bn2,Burn,DBH_15Post,2016.1170520231215,40,32.5
bn2,Burn,DBH_15Post,2016.1170520231215,50,21.0
bn2,Burn,DBH_15Post,2016.1170520231215,60,14.0
bn2,Burn,DBH_15Post,2016.1170520231215,70,11.25
bn2,Burn,DBH_15Post,2016.1170520231215,80,9.5
bn2,Burn,DBH_15Post,2016.1170520231215,90,5.5
bn2,Burn,DBH_15Post,2016.1170520231215,100,2.75
bn2,Burn,DBH_15Post,2016.1170520231215,227.2,9.75
bn2,Burn,DBH_1PostRX,2018.0,20,20.75
bn2,Burn,DBH_1PostRX,2018.0,30,31.0
bn2,Burn,DBH_1PostRX,2018.0,40,30.0
bn2,Burn,DBH_1PostRX,2018.0,50,20.25
bn2,Burn,DBH_1PostRX,2018.0,60,14.0
bn2,Burn,DBH_1PostRX,2018.0,70,10.5
bn2,Burn,DBH_1PostRX,2018.0,80,9.0
bn2,Burn,DBH_1PostRX,2018.0,90,4.5
bn2,Burn,DBH_1PostRX,2018.0,100,2.25
bn2,Burn,DBH_1PostRX,2018.0,227.2,9.25
bn2,Burn,DBH_2008,2008.0,20,0.0
bn2,Burn,DBH_2008,2008.0,30,0.0
bn2,Burn,DBH_2008,2008.0,40,0.0
bn2,Burn,DBH_2008,2008.0,50,0.0
bn2,Burn,DBH_2008,2008.0,60,0.0
bn2,Burn,DBH_2008,2008.0,70,0.0
bn2,Burn,DBH_2008,2008.0,80,2.25
bn2,Burn,DBH_2008,2008.0,90,7.25
bn2,Burn,DBH_2008,2008.0,100,6.5
bn2,Burn,DBH_2008,2008.0,227.2,13.0
bn2,Burn,DBH_2PostRX,2019.0,20,14.5
bn2,Burn,DBH_2PostRX,2019.0,30,25.5
bn2,Burn,DBH_2PostRX,2019.0,40,27.25
bn2,Burn,DBH_2PostRX,2019.0,50,19.25
bn2,Burn,DBH_2PostRX,2019.0,60,13.75
bn2,Burn,DBH_2PostRX,2019.0,70,9.75
bn2,Burn,DBH_2PostRX,2019.0,80,7.5
bn2,Burn,DBH_2PostRX,2019.0,90,5.5
bn2,Burn,DBH_2PostRX,2019.0,100,2.0
bn2,Burn,DBH_2PostRX,2019.0,227.2,9.0
bn2,Burn,DBH_Post,2004.0,20,32.0
bn2,Burn,DBH_Post,2004.0,30,53.0
bn2,Burn,DBH_Post,2004.0,40,40.25
bn2,Burn,DBH_Post,2004.0,50,26.75
bn2,Burn,DBH_Post,2004.0,60,22.5
bn2,Burn,DBH_Post,2004.0,70,19.5
bn2,Burn,DBH_Post,2004.0,80,9.0
bn2,Burn,DBH_Post,2004.0,90,8.5
bn2,Burn,DBH_Post,2004.0,100,7.25
bn2,Burn,DBH_Post,2004.0,227.2,13.5
bn2,Burn,DBH_Pre,2000.0,20,53.25
bn2,Burn,DBH_Pre,2000.0,30,64.25
bn2,Burn,DBH_Pre,2000.0,40,46.75
bn2,Burn,DBH_Pre,2000.0,50,31.75
bn2,Burn,DBH_Pre,2000.0,60,23.5
bn2,Burn,DBH_Pre,2000.0,70,20.0
bn2,Burn,DBH_Pre,2000.0,80,8.5
bn2,Burn,DBH_Pre,2000.0,90,9.5
bn2,Burn,DBH_Pre,2000.0,100,6.75
bn2,Burn,DBH_Pre,2000.0,227.2,16.25
bn3,Burn,DBH_10Post,2011.0,20,29.5
bn3,Burn,DBH_10Post,2011.0,30,34.25
bn3,Burn,DBH_10Post,2011.0,40,25.25
bn3,Burn,DBH_10Post,2011.0,50,20.25
bn3,Burn,DBH_10Post,2011.0,60,20.25
bn3,Burn,DBH_10Post,2011.0,70,14.75
bn3,Burn,DBH_10Post,2011.0,80,12.75
bn3,Burn,DBH_10Post,2011.0,90,12.5
bn3,Burn,DBH_10Post,2011.0,100,7.0
bn3,Burn,DBH_10Post,2011.0,227.2,15.0
bn3,Burn,DBH_15Post,2016.105580693816,20,31.25
bn3,Burn,DBH_15Post,2016.105580693816,30,36.0
bn3,Burn,DBH_15Post,2016.105580693816,40,20.75
bn3,Burn,DBH_15Post,2016.105580693816,50,15.75
bn3,Burn,DBH_15Post,2016.105580693816,60,17.25
bn3,Burn,DBH_15Post,2016.105580693816,70,12.0
bn3,Burn,DBH_15Post,2016.105580693816,80,7.0
bn3,Burn,DBH_15Post,2016.105580693816,90,9.75
bn3,Burn,DBH_15Post,2016.105580693816,100,4.25
bn3,Burn,DBH_15Post,2016.105580693816,227.2,11.75
bn3,Burn,DBH_1PostRX,2018.0,20,25.5
bn3,Burn,DBH_1PostRX,2018.0,30,32.5
bn3,Burn,DBH_1PostRX,2018.0,40,20.5
bn3,Burn,DBH_1PostRX,2018.0,50,13.25
bn3,Burn,DBH_1PostRX,2018.0,60,18.75
bn3,Burn,DBH_1PostRX,2018.0,70,11.0
bn3,Burn,DBH_1PostRX,2018.0,80,8.0
bn3,Burn,DBH_1PostRX,2018.0,90,8.75
bn3,Burn,DBH_1PostRX,2018.0,100,3.5
bn3,Burn,DBH_1PostRX,2018.0,227.2,11.5
bn3,Burn,DBH_2008,2008.0,20,0.0
bn3,Burn,DBH_2008,2008.0,30,0.25
bn3,Burn,DBH_2008,2008.0,40,0.0
bn3,Burn,DBH_2008,2008.0,50,0.25
bn3,Burn,DBH_2008,2008.0,60,0.0
bn3,Burn,DBH_2008,2008.0,70,0.0
bn3,Burn,DBH_2008,2008.0,80,5.0
