Unit,Treatment,DBH_timeframe,Year,PFT,BAperTree_m2ha
bn3,Burn,DBH_Post,2003.0,unknown,0.0
bn3,Burn,DBH_Pre,2001.0,cedar,12.926763263485888
bn3,Burn,DBH_Pre,2001.0,fir,33.5517191558881
bn3,Burn,DBH_Pre,2001.0,oak,0.008659014751456867
bn3,Burn,DBH_Pre,2001.0,other_hardwood,0.0
bn3,Burn,DBH_Pre,2001.0,pine,9.731859033802126
bn3,Burn,DBH_Pre,2001.0,unknown,0.05939573610693204
uc1,Thin,DBH_10Post,2011.0,cedar,0.008992023572737385
uc1,Thin,DBH_10Post,2011.0,fir,40.18593473755383
uc1,Thin,DBH_10Post,2011.0,oak,0.0
uc1,Thin,DBH_10Post,2011.0,other_hardwood,0.0
uc1,Thin,DBH_10Post,2011.0,pine,8.755036352816594
uc1,Thin,DBH_10Post,2011.0,unknown,0.0
uc1,Thin,DBH_15Post,2019.0,cedar,0.01899112394049115
uc1,Thin,DBH_15Post,2019.0,fir,30.55605515150127
uc1,Thin,DBH_15Post,2019.0,oak,0.0
uc1,Thin,DBH_15Post,2019.0,other_hardwood,0.0
uc1,Thin,DBH_15Post,2019.0,pine,7.669082020250211
uc1,Thin,DBH_15Post,2019.0,unknown,0.0
uc1,Thin,DBH_2008,2008.0,cedar,0.0
uc1,Thin,DBH_2008,2008.0,fir,31.98119487285467
uc1,Thin,DBH_2008,2008.0,oak,0.0
uc1,Thin,DBH_2008,2008.0,other_hardwood,0.0
uc1,Thin,DBH_2008,2008.0,pine,7.106358176993339
uc1,Thin,DBH_2008,2008.0,unknown,0.0
uc1,Thin,DBH_Post,2003.0,cedar,0.004717297718905924
uc1,Thin,DBH_Post,2003.0,fir,37.18670669300366
uc1,Thin,DBH_Post,2003.0,oak,0.0
uc1,Thin,DBH_Post,2003.0,other_hardwood,0.0
uc1,Thin,DBH_Post,2003.0,pine,8.207100575228793
uc1,Thin,DBH_Post,2003.0,unknown,0.0
uc1,Thin,DBH_Pre,1999.0,cedar,1.8008500517292152
uc1,Thin,DBH_Pre,1999.0,fir,50.86160732108745
uc1,Thin,DBH_Pre,1999.0,oak,0.0
uc1,Thin,DBH_Pre,1999.0,other_hardwood,0.0
uc1,Thin,DBH_Pre,1999.0,pine,10.856231694307873
uc1,Thin,DBH_Pre,1999.0,unknown,0.02829475423455647
uc2,Thin,DBH_10Post,2011.0,cedar,13.234351752328703
uc2,Thin,DBH_10Post,2011.0,fir,15.277201435057512
uc2,Thin,DBH_10Post,2011.0,oak,0.0
uc2,Thin,DBH_10Post,2011.0,other_hardwood,0.0
uc2,Thin,DBH_10Post,2011.0,pine,14.173481011189978
